     1985, 1827, 1622, 1504, 1622, 1827, 1985, 1985, 1827, 1622, 1622, 1827, 1985, 1520, 2607, ...
     2544, 1961, 2063, 1701, 2607, 2544, 1536, 1520, 1961, 2063, 1473, 1646, 1827, 1985, 1985, ...
     1827, 1646, 1473, 1646, 1827, 1985, 1473, 1488, 1551, 1473, 1701, 2607, 2544, 1961, 2063, ...
     1400, 1400, 1701, 2607, 2544, 1400, 1400, 1961, 2063, 2607, 1400, 1400, 1551, 1701, 1701, ...
     2733, 2733, 3032, 3938, 3875, 2731, 2731, 3292, 3394, 2731, 2731, 3032, 3938, 3875, 2819, ...
     3292, 3394, 3316, 3158, 2976, 2804, 2804, 2977, 3158, 3316, 3316, 3158, 2977, 2804, 2882, ...
     2851, 2835, 3032, 3938, 3875, 3292, 3394, 3938, 3875, 2867, 3292, 3394, 3316, 3158, 2953, ...
     3316, 3158, 2953, 2835, 2953, 3158, 3316, 3316, 3158, 2953, 2953, 3158, 3316, 2851, 3938, ...
     3875, 3292, 3394, 3032, 3938, 3875, 2867, 2851, 3292, 3394, 2804, 2977, 3158, 3316, 3316, ...
     3158, 2977, 2804, 2977, 3158, 3316, 2804, 2819, 2882, 2804, 3032, 3938, 3875, 3292, 3394, ...
     2731, 2731, 3032, 3938, 3875, 2731, 2731, 3292, 3394, 3938, 2731, 2731, 2882, 3032, 3032, ...
     -79 , -79 , 4055];
linhp318_opt_tour_length = 41345; % Known optimum tour length
